group,file,variant,prompt,t,layer,map,view,renorm,Z,raw_min,raw_max,win_row,win_col,win_score,win_on_border,noun_tokens,verb_tokens
group_stove,group_stove/t000_L13_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,13,allsum,base,img512,6,1.698968064383186e-06,1.4669393114558562,1,1,1.7680248170083155,1,▁stove,turn
group_stove,group_stove/t000_L13_noun_stove_orig_base.png,stove_orig,turn on the stove,0,13,noun,base,img512,6,2.5029771388059935e-07,0.12853892435080203,1,1,0.16689230839142322,1,▁stove,turn
group_stove,group_stove/t000_L13_verb_stove_orig_base.png,stove_orig,turn on the stove,0,13,verb,base,img512,6,3.642205897849571e-08,0.3556137719672484,1,1,0.39168883245806646,1,▁stove,turn
group_stove,group_stove/t000_L13_func_stove_orig_base.png,stove_orig,turn on the stove,0,13,func,base,img512,6,3.852020959674403e-07,0.9827866151378057,1,1,1.2094436761588256,1,▁stove,turn
group_stove,group_stove/t000_L14_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,14,allmax,base,img512,6,2.903906209028599e-08,0.12669033032782653,13,2,0.17018747765305892,0,▁stove,turn
group_stove,group_stove/t000_L14_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,14,allsum,base,img512,6,7.765440633606562e-08,0.47572425696598636,13,2,0.5776895489556132,0,▁stove,turn
group_stove,group_stove/t000_L14_noun_stove_orig_base.png,stove_orig,turn on the stove,0,14,noun,base,img512,6,4.168359713840421e-10,0.1241359373625967,13,2,0.14329964511917923,0,▁stove,turn
group_stove,group_stove/t000_L14_verb_stove_orig_base.png,stove_orig,turn on the stove,0,14,verb,base,img512,6,3.1991412181526033e-12,0.12669033032782653,4,5,0.14676929385737356,0,▁stove,turn
group_stove,group_stove/t000_L14_func_stove_orig_base.png,stove_orig,turn on the stove,0,14,func,base,img512,6,1.9872581000461396e-08,0.2775034320987437,13,2,0.3501435924552861,0,▁stove,turn
group_stove,group_stove/t000_L15_allmax_stove_orig_base.png,stove_orig,turn on the stove,0,15,allmax,base,img512,6,1.3390242902047413e-08,0.07698597318027615,13,1,0.09109772714067202,1,▁stove,turn
group_stove,group_stove/t000_L15_allsum_stove_orig_base.png,stove_orig,turn on the stove,0,15,allsum,base,img512,6,1.889760611812306e-08,0.1870752433978007,13,1,0.23893717770508913,1,▁stove,turn
group_stove,group_stove/t000_L15_noun_stove_orig_base.png,stove_orig,turn on the stove,0,15,noun,base,img512,6,1.1724159813722433e-10,0.054646112975799736,14,14,0.054647289323756745,1,▁stove,turn
